SampleIndex,CAN_H_V,CAN_L_V
0,3.500000,1.500000
1,3.500000,1.500000
2,2.500000,2.500000
3,3.500000,1.500000
4,3.500000,1.500000
5,3.500000,1.500000
6,2.500000,2.500000
7,2.500000,2.500000
8,2.500000,2.500000
9,2.500000,2.500000
10,2.500000,2.500000
11,3.500000,1.500000
12,2.500000,2.500000
13,2.500000,2.500000
14,2.500000,2.500000
15,3.500000,1.500000
16,2.500000,2.500000
17,2.500000,2.500000
18,3.500000,1.500000
19,2.500000,2.500000
20,3.500000,1.500000
21,3.500000,1.500000
22,3.500000,1.500000
23,3.500000,1.500000
24,3.500000,1.500000
25,2.500000,2.500000
26,3.500000,1.500000
27,3.500000,1.500000
28,3.500000,1.500000
29,3.500000,1.500000
30,2.500000,2.500000
31,3.500000,1.500000
32,3.500000,1.500000
33,3.500000,1.500000
34,2.500000,2.500000
35,3.500000,1.500000
36,2.500000,2.500000
37,3.500000,1.500000
38,3.500000,1.500000
39,3.500000,1.500000
40,2.500000,2.500000
41,2.500000,2.500000
42,2.500000,2.500000
43,2.500000,2.500000
44,2.500000,2.500000
45,3.500000,1.500000
46,2.500000,2.500000
47,2.500000,2.500000
48,2.500000,2.500000
49,2.500000,2.500000
50,2.500000,2.500000
51,3.500000,1.500000
52,2.500000,2.500000
53,2.500000,2.500000
54,2.500000,2.500000
55,2.500000,2.500000
56,2.500000,2.500000
57,3.500000,1.500000
58,2.500000,2.500000
59,3.500000,1.500000
60,2.500000,2.500000
61,2.500000,2.500000
62,2.500000,2.500000
63,2.500000,2.500000
64,2.500000,2.500000
65,3.500000,1.500000
66,2.500000,2.500000
67,2.500000,2.500000
68,2.500000,2.500000
69,2.500000,2.500000
70,2.500000,2.500000
71,3.500000,1.500000
72,2.500000,2.500000
73,2.500000,2.500000
74,2.500000,2.500000
75,2.500000,2.500000
76,2.500000,2.500000
77,3.500000,1.500000
78,2.500000,2.500000
79,3.500000,1.500000
80,3.500000,1.500000
81,3.500000,1.500000
82,2.500000,2.500000
83,2.500000,2.500000
84,2.500000,2.500000
85,2.500000,2.500000
86,2.500000,2.500000
87,3.500000,1.500000
88,2.500000,2.500000
89,2.500000,2.500000
90,2.500000,2.500000
91,2.500000,2.500000
92,2.500000,2.500000
93,3.500000,1.500000
94,2.500000,2.500000
95,2.500000,2.500000
96,2.500000,2.500000
97,2.500000,2.500000
98,2.500000,2.500000
99,3.500000,1.500000
100,2.500000,2.500000
101,2.500000,2.500000
102,2.500000,2.500000
103,2.500000,2.500000
104,2.500000,2.500000
105,3.500000,1.500000
106,2.500000,2.500000
107,2.500000,2.500000
108,2.500000,2.500000
109,2.500000,2.500000
110,2.500000,2.500000
111,3.500000,1.500000
112,2.500000,2.500000
113,2.500000,2.500000
114,2.500000,2.500000
115,3.500000,1.500000
116,3.500000,1.500000
117,2.500000,2.500000
118,3.500000,1.500000
119,2.500000,2.500000
120,3.500000,1.500000
121,3.500000,1.500000
122,3.500000,1.500000
123,3.500000,1.500000
124,2.500000,2.500000
125,3.500000,1.500000
126,2.500000,2.500000
127,3.500000,1.500000
128,2.500000,2.500000
129,2.500000,2.500000
130,2.500000,2.500000
131,3.500000,1.500000
132,2.500000,2.500000
133,2.500000,2.500000
134,2.500000,2.500000
135,2.500000,2.500000
136,2.500000,2.500000
137,3.500000,1.500000
138,2.500000,2.500000
139,2.500000,2.500000
140,2.500000,2.500000
141,2.500000,2.500000
142,2.500000,2.500000
143,3.500000,1.500000
144,2.500000,2.500000
145,3.500000,1.500000
146,2.500000,2.500000
147,2.500000,2.500000
148,3.500000,1.500000
149,3.500000,1.500000
150,3.500000,1.500000
151,2.500000,2.500000
152,2.500000,2.500000
153,2.500000,2.500000
154,2.500000,2.500000
155,2.500000,2.500000
156,3.500000,1.500000
157,2.500000,2.500000
158,2.500000,2.500000
159,2.500000,2.500000
160,3.500000,1.500000
161,2.500000,2.500000
